Segment,OperatorName,Type,Weight,Score,UsageCount
200,EnergyCriticalRemoval,Destroy,2.5000,855.0000,38
200,Route Merging Destroy,Destroy,3.0000,755.0000,52
200,TimeSlackDestroy,Destroy,2.5000,495.0000,31
200,Random Removal,Destroy,2.0000,535.0000,34
200,VehicleReductionAwareDestroy,Destroy,3.5000,875.0000,45
200,ChargingAwareRouteBuilder,Repair,2.0000,920.0000,47
200,Adaptive Insertion,Repair,2.0000,740.0000,43
200,Greedy Energy Insertion (Enhanced),Repair,1.5000,420.0000,27
200,Smart Station Repair,Repair,2.5000,870.0000,47
200,Regret-3 Repair (Smart Packing),Repair,2.5000,565.0000,36
400,EnergyCriticalRemoval,Destroy,5.5000,680.0000,37
400,Route Merging Destroy,Destroy,4.7279,485.0000,33
400,TimeSlackDestroy,Destroy,4.5202,735.0000,46
400,Random Removal,Destroy,4.0603,545.0000,36
400,VehicleReductionAwareDestroy,Destroy,5.8917,750.0000,48
400,ChargingAwareRouteBuilder,Repair,4.6362,655.0000,39
400,Adaptive Insertion,Repair,4.2814,570.0000,40
400,Greedy Energy Insertion (Enhanced),Repair,3.6083,505.0000,30
400,Smart Station Repair,Repair,4.9016,915.0000,54
400,Regret-3 Repair (Smart Packing),Repair,4.4792,550.0000,37
600,EnergyCriticalRemoval,Destroy,7.4318,740.0000,44
600,Route Merging Destroy,Destroy,6.2232,670.0000,44
600,TimeSlackDestroy,Destroy,6.2389,550.0000,39
600,Random Removal,Destroy,5.7221,490.0000,31
600,VehicleReductionAwareDestroy,Destroy,7.3517,600.0000,42
600,ChargingAwareRouteBuilder,Repair,6.4600,550.0000,33
600,Adaptive Insertion,Repair,5.7767,485.0000,36
600,Greedy Energy Insertion (Enhanced),Repair,5.5921,620.0000,43
600,Smart Station Repair,Repair,6.7080,780.0000,47
600,Regret-3 Repair (Smart Packing),Repair,6.0370,615.0000,41
800,EnergyCriticalRemoval,Destroy,8.8397,460.0000,32
800,Route Merging Destroy,Destroy,7.5739,635.0000,41
800,TimeSlackDestroy,Destroy,7.4184,790.0000,55
800,Random Removal,Destroy,7.2347,520.0000,36
800,VehicleReductionAwareDestroy,Destroy,8.3918,555.0000,36
800,ChargingAwareRouteBuilder,Repair,7.9910,420.0000,28
800,Adaptive Insertion,Repair,6.9310,670.0000,47
800,Greedy Energy Insertion (Enhanced),Repair,6.9161,575.0000,39
800,Smart Station Repair,Repair,8.1912,575.0000,38
800,Regret-3 Repair (Smart Packing),Repair,7.3815,720.0000,48
1000,EnergyCriticalRemoval,Destroy,9.6700,540.0000,34
1000,Route Merging Destroy,Destroy,8.7609,690.0000,47
1000,TimeSlackDestroy,Destroy,8.4602,560.0000,38
1000,Random Removal,Destroy,8.3162,565.0000,40
1000,VehicleReductionAwareDestroy,Destroy,9.4455,620.0000,41
1000,ChargingAwareRouteBuilder,Repair,9.0423,860.0000,53
1000,Adaptive Insertion,Repair,8.0297,455.0000,33
1000,Greedy Energy Insertion (Enhanced),Repair,8.0902,575.0000,40
1000,Smart Station Repair,Repair,9.2322,525.0000,36
1000,Regret-3 Repair (Smart Packing),Repair,8.5242,560.0000,38
1200,EnergyCriticalRemoval,Destroy,10.6019,905.0000,55
1200,Route Merging Destroy,Destroy,9.6489,540.0000,38
1200,TimeSlackDestroy,Destroy,9.4017,635.0000,42
1200,Random Removal,Destroy,9.1875,415.0000,28
1200,VehicleReductionAwareDestroy,Destroy,10.2970,475.0000,37
1200,ChargingAwareRouteBuilder,Repair,10.1199,670.0000,45
1200,Adaptive Insertion,Repair,8.8934,485.0000,38
1200,Greedy Energy Insertion (Enhanced),Repair,9.0329,495.0000,36
1200,Smart Station Repair,Repair,10.0349,560.0000,30
1200,Regret-3 Repair (Smart Packing),Repair,9.4561,760.0000,51
1400,EnergyCriticalRemoval,Destroy,11.4798,720.0000,42
1400,Route Merging Destroy,Destroy,10.3332,535.0000,37
1400,TimeSlackDestroy,Destroy,10.2593,590.0000,41
1400,Random Removal,Destroy,10.0326,520.0000,33
1400,VehicleReductionAwareDestroy,Destroy,10.6781,710.0000,47
1400,ChargingAwareRouteBuilder,Repair,10.8353,605.0000,38
1400,Adaptive Insertion,Repair,9.4739,595.0000,40
1400,Greedy Energy Insertion (Enhanced),Repair,9.7405,530.0000,36
1400,Smart Station Repair,Repair,11.3297,795.0000,49
1400,Regret-3 Repair (Smart Packing),Repair,10.2730,550.0000,37
1600,EnergyCriticalRemoval,Destroy,12.3292,750.0000,48
1600,Route Merging Destroy,Destroy,10.9521,520.0000,32
1600,TimeSlackDestroy,Destroy,10.8789,510.0000,36
1600,Random Removal,Destroy,10.8913,555.0000,39
1600,VehicleReductionAwareDestroy,Destroy,11.3423,675.0000,45
1600,ChargingAwareRouteBuilder,Repair,11.5982,740.0000,48
1600,Adaptive Insertion,Repair,10.2840,500.0000,36
1600,Greedy Energy Insertion (Enhanced),Repair,10.4877,685.0000,45
1600,Smart Station Repair,Repair,12.0639,420.0000,28
1600,Regret-3 Repair (Smart Packing),Repair,10.9618,665.0000,43
1800,EnergyCriticalRemoval,Destroy,12.8236,955.0000,50
1800,Route Merging Destroy,Destroy,11.7468,620.0000,43
1800,TimeSlackDestroy,Destroy,11.3721,585.0000,39
1800,Random Removal,Destroy,11.3923,460.0000,32
1800,VehicleReductionAwareDestroy,Destroy,11.8910,555.0000,36
1800,ChargingAwareRouteBuilder,Repair,12.1709,770.0000,49
1800,Adaptive Insertion,Repair,10.8248,490.0000,34
1800,Greedy Energy Insertion (Enhanced),Repair,11.1979,560.0000,39
1800,Smart Station Repair,Repair,12.5043,745.0000,39
1800,Regret-3 Repair (Smart Packing),Repair,11.6373,610.0000,39
2000,EnergyCriticalRemoval,Destroy,13.7651,985.0000,53
2000,Route Merging Destroy,Destroy,12.1476,485.0000,33
2000,TimeSlackDestroy,Destroy,11.9163,590.0000,41
2000,Random Removal,Destroy,11.8397,480.0000,34
2000,VehicleReductionAwareDestroy,Destroy,12.4198,560.0000,39
2000,ChargingAwareRouteBuilder,Repair,12.7024,685.0000,42
2000,Adaptive Insertion,Repair,11.3628,565.0000,37
2000,Greedy Energy Insertion (Enhanced),Repair,11.6721,470.0000,34
2000,Smart Station Repair,Repair,13.4940,770.0000,46
2000,Regret-3 Repair (Smart Packing),Repair,12.2378,610.0000,41
2200,EnergyCriticalRemoval,Destroy,14.4880,825.0000,54
2200,Route Merging Destroy,Destroy,12.5300,535.0000,37
2200,TimeSlackDestroy,Destroy,12.2874,620.0000,41
2200,Random Removal,Destroy,12.1814,545.0000,37
2200,VehicleReductionAwareDestroy,Destroy,12.7107,470.0000,31
2200,ChargingAwareRouteBuilder,Repair,13.2435,720.0000,46
2200,Adaptive Insertion,Repair,11.9489,605.0000,44
2200,Greedy Energy Insertion (Enhanced),Repair,11.9948,335.0000,25
2200,Smart Station Repair,Repair,13.9808,700.0000,42
2200,Regret-3 Repair (Smart Packing),Repair,12.6339,635.0000,43
2400,EnergyCriticalRemoval,Destroy,14.6065,605.0000,31
2400,Route Merging Destroy,Destroy,12.8194,715.0000,48
2400,TimeSlackDestroy,Destroy,12.7126,585.0000,39
2400,Random Removal,Destroy,12.5636,525.0000,36
2400,VehicleReductionAwareDestroy,Destroy,13.0783,665.0000,46
2400,ChargingAwareRouteBuilder,Repair,13.6048,850.0000,51
2400,Adaptive Insertion,Repair,12.2191,505.0000,35
2400,Greedy Energy Insertion (Enhanced),Repair,12.2056,545.0000,37
2400,Smart Station Repair,Repair,14.3837,595.0000,37
